Date;Station ID;Depth ;Salinity;NH4;NO32;Dissolved_Inorganic_(NH4_NO32);Dissolved_Organic_(TDN-DIN);SUM_Total_Dissolved;Particulate_(TN_TDN);Total_N_measured;Particulate_Nitrogen_measured;Total_N_(PN_TDN);Dissolved_Inorganic_P_(DRP);Dissolved_Organic_(TDP_DRP);Total_Dissolved_P_(TDP);Particulate_P_(TP_TDP);Total_P_(TP);;;
2015-03-17;6;2;12;6,7;37,1;43,8;19,1;63,0;0,8;63,8;;;2,9;0,0;3,0;0,9;3,8;;;
2015-03-17;13;2;27;3,3;14,5;17,8;10,1;27,8;-0,2;27,6;;;2,1;0,1;2,2;0,2;2,4;;;
2015-03-17;18;2;31;2,8;8,0;10,8;7,3;18,1;-0,9;17,2;;;1,4;0,2;1,5;0,2;1,7;;;
2015-03-17;22;2;30;5,0;12,6;17,6;6,7;24,3;1,1;25,5;;;1,8;-0,1;1,7;0,4;2,1;;;
2015-03-17;27;2;27;5,8;26,6;32,3;13,4;45,8;2,2;48,0;;;4,1;-0,1;4,0;1,3;5,3;;;
2015-03-17;32;2;25;3,6;39,1;42,8;24,5;67,3;-5,5;61,8;;;6,2;0,1;6,3;1,3;7,6;;;
2015-03-17;34;2;24;4,0;64,1;68,1;29,0;97,1;4,3;101,4;;;8,5;0,3;8,7;2,0;10,7;;;
2015-03-27;18;2;28;2,2;12,0;14,2;10,1;24,3;-0,8;23,5;;;2,0;0,2;2,1;0,3;2,4;;;
2015-03-27;22;2;29;4,6;15,3;20,0;9,6;29,6;0,3;29,9;;;2,2;0,3;2,5;0,3;2,7;;;
2015-03-27;27;2;27;3,2;25,2;28,4;12,9;41,3;-2,0;39,3;;;3,7;0,4;4,1;0,0;4,1;;;
2015-03-27;32;2;26;5,1;32,4;37,5;21,3;58,8;1,3;60,0;;;5,8;0,2;6,0;0,6;6,7;;;
2015-03-27;36;2;25;4,8;47,0;51,8;28,1;80,0;4,3;84,2;;;7,5;0,3;7,7;2,3;10,0;;;
2015-04-13;18;2;30;2,8;12,9;15,7;9,4;25,1;2,6;27,7;;;1,9;0,1;2,1;0,6;2,6;;;
2015-04-13;22;2;30;5,5;16,6;22,1;12,4;34,5;-3,7;30,8;;;2,5;0,4;3,0;0,2;3,2;;;
2015-04-13;27;2;29;5,0;23,1;28,1;12,6;40,6;0,9;41,5;;;3,9;0,1;4,0;0,8;4,8;;;
2015-04-13;32;2;27;2,1;29,0;31,1;22,5;53,6;3,5;57,1;;;5,9;-0,6;5,3;1,6;7,0;;;
2015-04-13;36;2;26;2,1;38,9;41,1;24,8;65,8;12,0;77,8;;;7,0;-0,1;6,9;3,1;10,0;;;
2015-04-21;657;2;0;13,6;38,3;51,9;15,1;67,0;1,6;68,6;;;2,7;0,7;3,4;0,9;4,3;;;
2015-04-21;6;2;9;6,5;40,2;46,7;18,7;65,4;0,7;66,1;;;3,4;0,2;3,6;2,1;5,6;;;
2015-04-21;13;2;24;5,6;20,7;26,3;13,7;40,1;1,4;41,5;;;2,9;0,1;3,0;1,2;4,2;;;
2015-04-21;18;2;31;3,4;14,6;18,0;8,2;26,2;1,6;27,8;;;2,0;-0,3;1,7;1,2;2,9;;;
2015-04-21;22;2;29;7,0;13,3;20,3;17,6;37,9;1,4;39,3;;;2,4;0,8;3,2;2,0;5,2;;;
2015-04-21;27;2;28;6,6;26,4;33,0;20,6;53,5;14,1;67,7;;;5,1;-0,2;4,9;4,9;9,8;;;
2015-04-21;32;2;27;4,1;34,5;38,6;25,2;63,8;14,7;78,5;;;6,4;-0,4;6,1;5,4;11,5;;;
2015-04-21;34;2;27;3,9;39,3;43,2;27,1;70,3;14,0;84,2;;;7,0;-1,4;5,6;7,8;13,4;;;
2015-04-27;18;2;31;6,6;15,1;21,7;11,8;33,5;-2,0;31,5;;;2,4;0,1;2,5;0,5;3,0;;;
2015-04-27;22;2;30;8,6;21,2;29,8;15,6;45,3;-0,4;44,9;;;3,5;0,0;3,5;0,6;4,1;;;
2015-04-27;27;2;29;6,4;23,9;30,3;16,2;46,5;3,3;49,8;;;4,3;0,4;4,7;0,8;5,6;;;
2015-04-27;32;2;28;3,7;22,6;26,3;26,7;53,0;2,6;55,6;;;5,4;-0,1;5,3;2,0;7,3;;;
2015-04-27;36;2;27;5,1;39,8;44,9;37,9;82,8;10,0;92,8;;;6,9;1,2;8,0;3,8;11,8;;;
2015-05-19;657;2;0;15,8;34,1;49,9;13,6;63,5;1,2;64,8;;;3,3;0,1;3,5;0,8;4,3;;;
2015-05-19;6;2;10;6,2;37,6;43,8;20,4;64,3;-1,5;62,8;;;3,5;0,3;3,8;0,7;4,6;;;
2015-05-19;13;2;25;6,2;25,9;32,1;16,8;49,0;-3,1;45,8;;;3,0;0,2;3,2;1,0;4,2;;;
2015-05-19;18;2;31;5,6;19,6;25,2;12,6;37,8;-2,6;35,2;;;2,5;0,1;2,6;0,6;3,3;;;
2015-05-19;22;2;30;10,8;21,1;31,8;20,7;52,5;-2,9;49,6;;;3,2;0,7;3,9;1,3;5,2;;;
2015-05-19;27;2;29;5,7;34,2;39,9;17,8;57,7;20,1;77,8;;;6,1;-0,4;5,7;6,8;12,5;;;
2015-05-19;32;2;28;5,4;54,6;60,0;31,3;91,4;25,0;116,4;;;8,5;0,7;9,2;8,4;17,5;;;
2015-05-19;34;2;27;10,2;78,5;88,7;31,9;120,7;54,3;174,9;;;10,6;1,0;11,6;15,7;27,3;;;
